StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID
D0           d            50.0         40.0         0.0          0.0          0.0          0.0          0
C1           cp           40.0         50.0         60.0         0.0          0.0          70.0         C54
C2           cp           40.0         54.0         65.0         0.0          0.0          55.0         C55
C3           cp           40.0         54.0         65.0         0.0          0.0          55.0         C56
C4           cp           40.0         58.0         55.0         0.0          0.0          55.0         C57
C5           cp           42.0         54.0         75.0         0.0          0.0          55.0         C58
C6           cp           42.0         58.0         40.0         0.0          0.0          70.0         C59
C7           cp           42.0         50.0         55.0         0.0          0.0          55.0         C60
C8           cp           38.0         54.0         50.0         0.0          0.0          55.0         C61
C9           cp           45.0         54.0         75.0         0.0          0.0          55.0         C62
C10          cp           38.0         58.0         85.0         0.0          0.0          70.0         C63
C11          cp           28.0         73.0         70.0         0.0          0.0          55.0         C64
C12          cp           45.0         54.0         35.0         0.0          0.0          55.0         C65
C13          cp           30.0         54.0         85.0         0.0          0.0          55.0         C66
C14          cp           28.0         58.0         80.0         0.0          0.0          70.0         C67
C15          cp           42.0         54.0         75.0         0.0          0.0          70.0         C68
C16          cp           25.0         54.0         45.0         0.0          0.0          70.0         C69
C17          cp           44.0         58.0         40.0         0.0          0.0          55.0         C70
C18          cp           28.0         77.0         75.0         0.0          0.0          55.0         C71
C19          cp           50.0         70.0         75.0         0.0          0.0          55.0         C72
C20          cp           40.0         70.0         80.0         0.0          0.0          55.0         C73
C21          cp           43.0         77.0         30.0         0.0          0.0          70.0         C74
C22          cp           50.0         77.0         75.0         0.0          0.0          55.0         C75
C23          cp           47.0         73.0         35.0         0.0          0.0          55.0         C76
C24          cp           40.0         73.0         65.0         0.0          0.0          70.0         C77
C25          cp           28.0         85.0         65.0         0.0          0.0          55.0         C78
C26          cp           30.0         90.0         80.0         0.0          0.0          70.0         C79
C27          cp           25.0         90.0         60.0         0.0          0.0          55.0         C80
C28          cp           25.0         85.0         30.0         0.0          0.0          55.0         C81
C29          cp           20.0         85.0         50.0         0.0          0.0          55.0         C82
C30          cp           30.0         77.0         30.0         0.0          0.0          55.0         C83
C31          cp           28.0         77.0         50.0         0.0          0.0          70.0         C84
C32          cp           30.0         58.0         85.0         0.0          0.0          55.0         C85
C33          cp           45.0         50.0         85.0         0.0          0.0          55.0         C86
C34          cp           42.0         50.0         35.0         0.0          0.0          55.0         C87
C35          cp           28.0         73.0         60.0         0.0          0.0          55.0         C88
C36          cp           44.0         58.0         65.0         0.0          0.0          70.0         C89
C37          cp           40.0         70.0         70.0         0.0          0.0          55.0         C90
C38          cp           30.0         50.0         85.0         0.0          0.0          70.0         C91
C39          cp           28.0         50.0         40.0         0.0          0.0          55.0         C92
C40          cp           40.0         90.0         85.0         0.0          0.0          55.0         C93
C41          cp           40.0         90.0         45.0         0.0          0.0          70.0         C94
C42          cp           44.0         90.0         85.0         0.0          0.0          55.0         C95
C43          cp           25.0         70.0         35.0         0.0          0.0          70.0         C96
C44          cp           28.0         85.0         40.0         0.0          0.0          70.0         C97
C45          cp           38.0         54.0         30.0         0.0          0.0          55.0         C98
C46          cp           38.0         58.0         75.0         0.0          0.0          55.0         C99
C47          cp           33.0         54.0         35.0         0.0          0.0          55.0         C100
C48          cp           33.0         58.0         80.0         0.0          0.0          70.0         C101
C49          cp           25.0         85.0         50.0         0.0          0.0          55.0         C102
C50          cp           43.0         77.0         70.0         0.0          0.0          55.0         C103
C51          cp           28.0         58.0         80.0         0.0          0.0          70.0         C104
C52          cp           47.0         73.0         35.0         0.0          0.0          55.0         C105
C53          cp           20.0         80.0         35.0         0.0          0.0          70.0         C106
C54          cd           42.0         90.0         -60.0        90.0         1650.0       55.0         C1
