StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            40.0         50.0         0.0          0.0          1236.0       0.0          0
C1           cp           45.0         68.0         10.0         0.0          1127.0       9.0          C54
C2           cp           42.0         66.0         10.0         0.0          1129.0       9.0          C55
C3           cp           42.0         65.0         10.0         0.0          1130.0       9.0          C56
C4           cp           40.0         69.0         10.0         621.0        702.0        9.0          C57
C5           cp           40.0         66.0         10.0         0.0          1130.0       9.0          C58
C6           cp           38.0         68.0         10.0         255.0        324.0        9.0          C59
C7           cp           22.0         75.0         10.0         30.0         92.0         9.0          C60
C8           cp           20.0         85.0         10.0         475.0        528.0        9.0          C61
C9           cp           18.0         75.0         10.0         99.0         148.0        9.0          C62
C10          cp           15.0         75.0         10.0         179.0        254.0        9.0          C63
C11          cp           30.0         50.0         10.0         10.0         73.0         9.0          C64
C12          cp           28.0         55.0         10.0         732.0        777.0        9.0          C65
C13          cp           25.0         50.0         10.0         65.0         144.0        9.0          C66
C14          cp           23.0         52.0         10.0         261.0        316.0        9.0          C67
C15          cp           23.0         55.0         20.0         546.0        593.0        0.0          C68
C16          cp           20.0         50.0         20.0         358.0        405.0        9.0          C69
C17          cp           10.0         35.0         20.0         0.0          1112.0       9.0          C70
C18          cp           10.0         40.0         20.0         31.0         100.0        9.0          C71
C19          cp           2.0          40.0         20.0         0.0          1106.0       9.0          C72
C20          cp           0.0          40.0         20.0         479.0        522.0        9.0          C73
C21          cp           0.0          45.0         20.0         567.0        624.0        0.0          C74
C22          cp           35.0         32.0         20.0         166.0        235.0        9.0          C75
C23          cp           33.0         32.0         20.0         68.0         149.0        9.0          C76
C24          cp           33.0         35.0         20.0         16.0         80.0         9.0          C77
C25          cp           32.0         30.0         20.0         359.0        412.0        9.0          C78
C26          cp           30.0         32.0         20.0         448.0        509.0        9.0          C79
C27          cp           26.0         32.0         20.0         0.0          1123.0       0.0          C80
C28          cp           25.0         35.0         20.0         0.0          1124.0       9.0          C81
C29          cp           42.0         10.0         20.0         186.0        257.0        9.0          C82
C30          cp           42.0         15.0         20.0         95.0         158.0        9.0          C83
C31          cp           40.0         15.0         30.0         35.0         87.0         9.0          C84
C32          cp           38.0         5.0          30.0         471.0        534.0        9.0          C85
C33          cp           50.0         35.0         30.0         262.0        317.0        9.0          C86
C34          cp           50.0         40.0         30.0         171.0        218.0        9.0          C87
C35          cp           48.0         40.0         30.0         76.0         129.0        9.0          C88
C36          cp           47.0         40.0         30.0         12.0         77.0         9.0          C89
C37          cp           45.0         30.0         30.0         734.0        777.0        0.0          C90
C38          cp           95.0         35.0         30.0         293.0        360.0        9.0          C91
C39          cp           53.0         35.0         30.0         353.0        412.0        9.0          C92
C40          cp           91.0         35.0         30.0         203.0        260.0        9.0          C93
C41          cp           88.0         35.0         30.0         109.0        170.0        0.0          C94
C42          cp           87.0         30.0         30.0         668.0        731.0        9.0          C95
C43          cp           85.0         35.0         30.0         47.0         124.0        9.0          C96
C44          cp           75.0         55.0         30.0         0.0          1110.0       9.0          C97
C45          cp           72.0         55.0         30.0         0.0          1113.0       9.0          C98
C46          cp           65.0         55.0         40.0         85.0         144.0        9.0          C99
C47          cp           65.0         60.0         40.0         645.0        708.0        9.0          C100
